Day,Hour,,Positive,Negative,Price,Price +1,Price +2,Price +3
8,17,"May 8, 17:00",1293,26,9119.67,9209.37,9243.89,9157.97
8,18,"May 8, 18:00",2626,43,9209.37,9243.89,9157.97,9185.79
8,19,"May 8, 19:00",2491,38,9243.89,9157.97,9185.79,9194.47
8,20,"May 8, 20:00",2196,35,9157.97,9185.79,9194.47,9181.93
8,21,"May 8, 21:00",1980,39,9185.79,9194.47,9181.93,9129.48
8,22,"May 8, 22:00",2065,45,9194.47,9181.93,9129.48,9162.24
8,23,"May 8, 23:00",1527,32,9181.93,9129.48,9162.24,9083.52
9,0,"May 9, 0:00",,,9129.48,9162.24,9083.52,9038.78
9,1,"May 9, 1:00",,,9162.24,9083.52,9038.78,9067.39
9,2,"May 9, 2:00",,,9083.52,9038.78,9067.39,9057.85
9,3,"May 9, 3:00",,,9038.78,9067.39,9057.85,9074.76
9,4,"May 9, 4:00",,,9067.39,9057.85,9074.76,9031
9,5,"May 9, 5:00",,,9057.85,9074.76,9031,9109.57
9,6,"May 9, 6:00",,,9074.76,9031,9109.57,9105.36
9,7,"May 9, 7:00",,,9031,9109.57,9105.36,9188.48
9,8,"May 9, 8:00",,,9109.57,9105.36,9188.48,9218.24
9,9,"May 9, 9:00",,,9105.36,9188.48,9218.24,9272.81
9,10,"May 9, 10:00",,,9188.48,9218.24,9272.81,9263.84
9,11,"May 9, 11:00",,,9218.24,9272.81,9263.84,9303.96
9,12,"May 9, 12:00",,,9272.81,9263.84,9303.96,9281.56
9,13,"May 9, 13:00",,,9263.84,9303.96,9281.56,9300.09
9,14,"May 9, 14:00",,,9303.96,9281.56,9300.09,9304.02
9,15,"May 9, 15:00",,,9281.56,9300.09,9304.02,9273.38
9,16,"May 9, 16:00",,,9300.09,9304.02,9273.38,9278.69
9,17,"May 9, 17:00",376,7,9304.02,9273.38,9278.69,9252.84
9,18,"May 9, 18:00",2723,61,9273.38,9278.69,9252.84,9245.88
9,19,"May 9, 19:00",2506,80,9278.69,9252.84,9245.88,9317.87
9,20,"May 9, 20:00",2616,46,9252.84,9245.88,9317.87,9308.35
9,21,"May 9, 21:00",2107,48,9245.88,9317.87,9308.35,9317.37
9,22,"May 9, 22:00",2099,41,9317.87,9308.35,9317.37,9311.21
9,23,"May 9, 23:00",1611,39,9308.35,9317.37,9311.21,9317.78
10,0,"May 10, 0:00",,,9317.37,9311.21,9317.78,9328.19
10,1,"May 10, 1:00",,,9311.21,9317.78,9328.19,9335.64
10,2,"May 10, 2:00",,,9317.78,9328.19,9335.64,9292.55
10,3,"May 10, 3:00",,,9328.19,9335.64,9292.55,9274.73
10,4,"May 10, 4:00",,,9335.64,9292.55,9274.73,9360.41
10,5,"May 10, 5:00",,,9292.55,9274.73,9360.41,9341.48
10,6,"May 10, 6:00",,,9274.73,9360.41,9341.48,9339.03
10,7,"May 10, 7:00",,,9360.41,9341.48,9339.03,9365.04
10,8,"May 10, 8:00",,,9341.48,9339.03,9365.04,9326.81
10,9,"May 10, 9:00",,,9339.03,9365.04,9326.81,9342.35
10,10,"May 10, 10:00",,,9365.04,9326.81,9342.35,9371.79
10,11,"May 10, 11:00",,,9326.81,9342.35,9371.79,9325.34
10,12,"May 10, 12:00",,,9342.35,9371.79,9325.34,9330.21
10,13,"May 10, 13:00",,,9371.79,9325.34,9330.21,9345.83
10,14,"May 10, 14:00",,,9325.34,9330.21,9345.83,9150.97
10,15,"May 10, 15:00",,,9330.21,9345.83,9150.97,9119.75
10,16,"May 10, 16:00",1039,170,9345.83,9150.97,9119.75,9086.26
10,17,"May 10, 17:00",2307,298,9150.97,9119.75,9086.26,9093.56
10,18,"May 10, 18:00",2246,279,9119.75,9086.26,9093.56,9100.44
10,19,"May 10, 19:00",2158,206,9086.26,9093.56,9100.44,9099.22
10,20,"May 10, 20:00",1827,220,9093.56,9100.44,9099.22,9014.69
10,21,"May 10, 21:00",1589,190,9100.44,9099.22,9014.69,8931.69
10,22,"May 10, 22:00",1446,175,9099.22,9014.69,8931.69,8921.02
10,23,"May 10, 23:00",1291,161,9014.69,8931.69,8921.02,8898.23
11,0,"May 11, 0:00",,,8931.69,8921.02,8898.23,8917.57
11,1,"May 11, 1:00",,,8921.02,8898.23,8917.57,8943.62
11,2,"May 11, 2:00",,,8898.23,8917.57,8943.62,8996.27
11,3,"May 11, 3:00",,,8917.57,8943.62,8996.27,8827.2
11,4,"May 11, 4:00",,,8943.62,8996.27,8827.2,8763.2
11,5,"May 11, 5:00",,,8996.27,8827.2,8763.2,8791.32
11,6,"May 11, 6:00",,,8827.2,8763.2,8791.32,8734.27
11,7,"May 11, 7:00",,,8763.2,8791.32,8734.27,8705.98
11,8,"May 11, 8:00",,,8791.32,8734.27,8705.98,8642.44
11,9,"May 11, 9:00",,,8734.27,8705.98,8642.44,8535.96
11,10,"May 11, 10:00",,,8705.98,8642.44,8535.96,8543.12
11,11,"May 11, 11:00",,,8642.44,8535.96,8543.12,8635.98
11,12,"May 11, 12:00",,,8535.96,8543.12,8635.98,8570.7
11,13,"May 11, 13:00",,,8543.12,8635.98,8570.7,8652.51
11,14,"May 11, 14:00",,,8635.98,8570.7,8652.51,8589.04
11,15,"May 11, 15:00",,,8570.7,8652.51,8589.04,8609.75
11,16,"May 11, 16:00",,,8652.51,8589.04,8609.75,8601.1
11,17,"May 11, 17:00",,,8589.04,8609.75,8601.1,8436.2
11,18,"May 11, 18:00",45,7,8609.75,8601.1,8436.2,8392.86
11,19,"May 11, 19:00",2027,214,8601.1,8436.2,8392.86,8426.23
11,20,"May 11, 20:00",1807,292,8436.2,8392.86,8426.23,8392
